Date,Team A - Faria Revenue,Team B - Mustafiz Revenue,Team C - Mehboob Revenue,Perishable - Rashed Revenue,Total Revenue
2022-06-27,2824183,2353584.96,739525,2247167,8180827.96
2022-06-26,3032459,2524794.88,824715,2275985,8676021.88
2022-06-25,3127677,2923920,725604,2269718,9062970
2022-06-24,3095953.35,2885204.92,925000,2310232,9231685.27
2022-06-23,2805658,2360663.92,704180,2051977,7940241.92
2022-06-22,2672947,2282011,742979,2003731.65,7717290.65
2022-06-21,2765236,2408063.96,762909,2023240,7971177.96
2022-06-20,3073901,2362439,783940,2049952,8288947
2022-06-19,3238215.8,2378980,793076,2142632,8569297.8
2022-06-18,3515289,2642607,882718,2549924,9609983
2022-06-17,3203946,2274204,734766,2566372,8798653
2022-06-16,2803869,2126117,684121,2166048,7803490
2022-06-15,3025194,2200996.7,698160,2046541,7985248.7
2022-06-14,2974863.32,2256856.6,743850,2154380,8145575.92
2022-06-13,2876342.2,2352949.56,763432,2037751,8052511.76
2022-06-12,3058940.2,2271315,667834,2097361,8116871.2
2022-06-11,3464523,2775364.5,824792,2320351,9417174.5
2022-06-10,4050724.3,3133379.95,820718,2816950,10880191.25
2022-06-09,2988744.2,2357844.36,674906,2483525,8612977.56
2022-06-08,3049427,2490214,738082,2269579,8761161
2022-06-07,3254886.12,2606319.48,835533,2369164,9370220.6
2022-06-06,3324762.12,2748126.48,704586,2366705,9471683.6
2022-06-05,2876126,2466869.9,707461,2069999,8405244.9
2022-06-04,3247959,2976892,871918,2414414,9752154
2022-06-03,3790148,3454415.15,916717,3087923,11391354.15
2022-06-02,3478459,2772195,804861,2470441,9665429
2022-06-01,3612577,2821038,831005,2387753,9772302
2022-05-31,3208886,2528297,778364,2124500,8752200
2022-05-30,2971818.6,2382577,786536,2224389,8481818.6
2022-05-29,2926000,2422097.9,742452,2149812,8381459.9
2022-05-28,3114401,2692644.2,761347,2298270,8993688.2
